               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.030114,            0.045171,           0.0042344,             0.98005,             0.99222,             0.99506,             0.66772,            0.022815,             0.02677,           0.0024468,           0.0087686,           0.0087686,           0.0087686
                  79,            0.029682,            0.046048,           0.0041841,              0.9938,             0.97849,             0.99469,             0.63677,            0.027741,             0.02872,           0.0025006,           0.0087382,           0.0087382,           0.0087382
                  80,            0.032711,            0.043447,           0.0038379,             0.94502,             0.96648,             0.97494,             0.61217,            0.027137,            0.027503,           0.0025887,           0.0087075,           0.0087075,           0.0087075
                  81,            0.034575,            0.046455,           0.0035695,             0.98569,              0.9902,             0.99475,             0.68834,             0.02663,             0.02782,           0.0024902,           0.0086765,           0.0086765,           0.0086765
                  82,            0.030876,            0.040191,           0.0035645,             0.98642,              0.9931,             0.99503,             0.68225,             0.02371,            0.026133,           0.0025839,           0.0086452,           0.0086452,           0.0086452
                  83,            0.030437,            0.043866,           0.0039646,             0.98956,             0.99326,             0.99539,             0.68252,            0.023072,            0.026578,           0.0024559,           0.0086137,           0.0086137,           0.0086137
                  84,            0.027854,            0.040305,           0.0038719,             0.97409,             0.99511,             0.99444,             0.73168,            0.021808,            0.026008,           0.0026624,           0.0085818,           0.0085818,           0.0085818
                  85,            0.029046,            0.038996,           0.0036982,             0.99513,             0.99231,             0.99542,             0.70997,            0.022246,            0.025663,           0.0021409,           0.0085497,           0.0085497,           0.0085497
                  86,            0.028729,            0.041681,           0.0032665,             0.99354,             0.99243,             0.99536,             0.72908,            0.021729,            0.025661,           0.0021648,           0.0085173,           0.0085173,           0.0085173
                  87,            0.029762,            0.043498,            0.003457,             0.99066,             0.99299,              0.9952,             0.70057,             0.02287,            0.025889,            0.002314,           0.0084846,           0.0084846,           0.0084846
                  88,            0.027942,            0.043787,           0.0033713,             0.98499,             0.96949,             0.99296,             0.69764,            0.021345,            0.026227,           0.0027404,           0.0084516,           0.0084516,           0.0084516
                  89,            0.029204,            0.040141,           0.0035902,              0.9875,             0.99564,             0.99534,             0.68087,            0.023826,            0.025848,           0.0022813,           0.0084184,           0.0084184,           0.0084184
                  90,            0.028687,            0.042102,           0.0031894,             0.98936,             0.99668,             0.99552,             0.71455,            0.022961,            0.025065,           0.0019966,           0.0083849,           0.0083849,           0.0083849
                  91,            0.031527,            0.043133,           0.0033379,             0.99397,              0.9874,             0.99531,             0.65343,            0.026637,            0.027257,           0.0020877,           0.0083511,           0.0083511,           0.0083511
                  92,            0.031587,            0.042863,           0.0033296,             0.99908,             0.98246,             0.99539,             0.68519,            0.021793,            0.025644,           0.0019883,           0.0083171,           0.0083171,           0.0083171
                  93,            0.030519,            0.041998,           0.0030684,             0.99439,             0.97031,             0.99377,             0.65952,            0.023975,             0.02584,           0.0022034,           0.0082829,           0.0082829,           0.0082829
